tx_id,id,monto_tx,categoria,fecha_tx,mes_tx,monto_iva,nombre,edad,ciudad,total_compras,monto_total,ticket_promedio,edad_bucket,monto_total_norm
15,8,10279.991004823118,Moda,2025-01-22,2025-01,12233.18929573951,Sofía,33.0,Santa Fe,4,2100,525.0,26-35,0.5121951219512195
16,8,12192.752906890839,Moda,2025-01-20,2025-01,,Sofía,33.0,Santa Fe,4,2100,525.0,26-35,0.5121951219512195
17,6,11006.984502609652,Hogar,2025-03-05,2025-03,13098.311558105484,Lucía,28.0,Salta,10,4100,410.0,26-35,1.0
18,2,20451.56224447706,Electrónica,2025-01-06,2025-01,24337.3590709277,Luis,34.0,Córdoba,2,1200,600.0,26-35,0.2926829268292683
19,9,8951.211833564923,Electrónica,2025-02-05,2025-02,10651.942081942258,Diego,40.5,Neuquén,7,3300,471.42857142857144,36-50,0.8048780487804879
20,5,17008.73844419106,Deportes,2025-02-22,2025-02,20240.398748587362,Jorge,31.0,La Plata,8,3200,400.0,26-35,0.7804878048780488
21,6,6724.956075526682,Hogar,2025-04-27,2025-04,8002.6977298767515,Lucía,28.0,Salta,10,4100,410.0,26-35,1.0
22,4,10779.218349368317,Hogar,2025-04-30,2025-04,12827.269835748297,Marta,29.0,Mendoza,3,1800,600.0,26-35,0.43902439024390244
23,2,12830.092481168718,Hogar,2025-01-19,2025-01,15267.810052590774,Luis,34.0,Córdoba,2,1200,600.0,26-35,0.2926829268292683
24,10,14879.845257475341,Deportes,2025-04-18,2025-04,17707.015856395654,Valentina,30.0,Bahía Blanca,6,2950,491.6666666666667,26-35,0.7195121951219512
25,8,15545.312044580887,Electrónica,2025-01-11,2025-01,18498.921333051254,Sofía,33.0,Santa Fe,4,2100,525.0,26-35,0.5121951219512195
26,7,15998.602046548227,Electrónica,2025-03-31,2025-03,19038.33643539239,Pedro,31.0,Tucumán,1,400,400.0,26-35,0.0975609756097561
27,5,10727.129916660071,Hogar,2025-04-12,2025-04,12765.284600825484,Jorge,31.0,La Plata,8,3200,400.0,26-35,0.7804878048780488
28,9,10308.89058564896,Hogar,2025-04-17,2025-04,12267.579796922262,Diego,40.5,Neuquén,7,3300,471.42857142857144,36-50,0.8048780487804879
29,6,16364.61484605476,Moda,2025-01-27,2025-01,19473.891666805164,Lucía,28.0,Salta,10,4100,410.0,26-35,1.0
30,5,11334.750817996528,Hogar,2025-04-18,2025-04,13488.353473415867,Jorge,31.0,La Plata,8,3200,400.0,26-35,0.7804878048780488
31,5,7755.013991700979,Hogar,2025-01-14,2025-01,9228.466650124165,Jorge,31.0,La Plata,8,3200,400.0,26-35,0.7804878048780488
32,3,8151.3152052511605,Deportes,2025-03-04,2025-03,9700.065094248881,Carlos,40.5,Rosario,0,0,0.0,36-50,0.0
33,1,8784.78733768606,Electrónica,2025-02-26,2025-02,10453.896931846411,Ana,25.0,Buenos Aires,5,2500,500.0,<=25,0.6097560975609756
34,6,21358.296942860572,Moda,2025-02-07,2025-02,137308.5966852866,Lucía,28.0,Salta,10,4100,410.0,26-35,1.0
35,9,12739.135894121424,Moda,2025-01-03,2025-01,15159.571714004494,Diego,40.5,Neuquén,7,3300,471.42857142857144,36-50,0.8048780487804879
36,1,15432.870579665983,Hogar,2025-04-03,2025-04,18365.115989802518,Ana,25.0,Buenos Aires,5,2500,500.0,<=25,0.6097560975609756
37,9,10436.31329884563,Deportes,2025-02-10,2025-02,12419.212825626299,Diego,40.5,Neuquén,7,3300,471.42857142857144,36-50,0.8048780487804879
38,9,12811.186132556428,Hogar,2025-03-21,2025-03,15245.311497742148,Diego,40.5,Neuquén,7,3300,471.42857142857144,36-50,0.8048780487804879
39,3,15086.291018822832,Deportes,2025-02-19,2025-02,17952.68631239917,Carlos,40.5,Rosario,0,0,0.0,36-50,0.0
40,7,12192.752906890839,Hogar,2025-02-14,2025-02,,Pedro,31.0,Tucumán,1,400,400.0,26-35,0.0975609756097561
41,2,14220.735516980047,Moda,2025-04-17,2025-04,16922.675265206253,Luis,34.0,Córdoba,2,1200,600.0,26-35,0.2926829268292683
42,8,9613.378620795309,Moda,2025-01-12,2025-01,11439.920558746417,Sofía,33.0,Santa Fe,4,2100,525.0,26-35,0.5121951219512195
43,8,10673.467271844997,Deportes,2025-03-30,2025-03,12701.426053495545,Sofía,33.0,Santa Fe,4,2100,525.0,26-35,0.5121951219512195
44,4,10603.896746022023,Hogar,2025-03-31,2025-03,12618.637127766207,Marta,29.0,Mendoza,3,1800,600.0,26-35,0.43902439024390244
45,1,7974.794960479923,Hogar,2025-02-15,2025-02,9490.006002971108,Ana,25.0,Buenos Aires,5,2500,500.0,<=25,0.6097560975609756
46,10,14371.832035928994,Electrónica,2025-02-01,2025-02,17102.480122755504,Valentina,30.0,Bahía Blanca,6,2950,491.6666666666667,26-35,0.7195121951219512
47,5,10283.482784752356,Hogar,2025-01-01,2025-01,12237.344513855303,Jorge,31.0,La Plata,8,3200,400.0,26-35,0.7804878048780488
48,9,12172.785405768273,Deportes,2025-04-23,2025-04,14485.614632864244,Diego,40.5,Neuquén,7,3300,471.42857142857144,36-50,0.8048780487804879
49,7,21358.296942860572,Electrónica,2025-04-24,2025-04,136522.02998472622,Pedro,31.0,Tucumán,1,400,400.0,26-35,0.0975609756097561
50,8,14169.839482012738,Deportes,2025-01-29,2025-01,16862.108983595157,Sofía,33.0,Santa Fe,4,2100,525.0,26-35,0.5121951219512195
51,8,15297.885284594055,Moda,2025-01-04,2025-01,18204.483488666923,Sofía,33.0,Santa Fe,4,2100,525.0,26-35,0.5121951219512195
52,2,11709.024794618514,Electrónica,2025-01-15,2025-01,13933.739505596031,Luis,34.0,Córdoba,2,1200,600.0,26-35,0.2926829268292683
53,4,10450.767333900818,Hogar,2025-01-09,2025-01,12436.413127341973,Marta,29.0,Mendoza,3,1800,600.0,26-35,0.43902439024390244
54,5,11786.189211357447,Moda,2025-04-10,2025-04,14025.56516151536,Jorge,31.0,La Plata,8,3200,400.0,26-35,0.7804878048780488
55,5,6714.4556514615115,Hogar,2025-04-18,2025-04,7990.202225239198,Jorge,31.0,La Plata,8,3200,400.0,26-35,0.7804878048780488
56,1,7303.403326803784,Electrónica,2025-01-19,2025-01,8691.049958896503,Ana,25.0,Buenos Aires,5,2500,500.0,<=25,0.6097560975609756
57,6,7628.452063547222,Moda,2025-03-31,2025-03,9077.857955621193,Lucía,28.0,Salta,10,4100,410.0,26-35,1.0
58,2,8548.821390235873,Moda,2025-01-22,2025-01,10173.097454380688,Luis,34.0,Córdoba,2,1200,600.0,26-35,0.2926829268292683
59,8,13939.83813011612,Electrónica,2025-02-14,2025-02,16588.40737483818,Sofía,33.0,Santa Fe,4,2100,525.0,26-35,0.5121951219512195
60,7,21358.296942860572,Hogar,2025-03-13,2025-03,84041.18643991157,Pedro,31.0,Tucumán,1,400,400.0,26-35,0.0975609756097561
61,10,10617.174439451028,Electrónica,2025-03-28,2025-03,12634.437582946723,Valentina,30.0,Bahía Blanca,6,2950,491.6666666666667,26-35,0.7195121951219512
62,8,19097.543576794986,Moda,2025-04-15,2025-04,22726.076856386033,Sofía,33.0,Santa Fe,4,2100,525.0,26-35,0.5121951219512195
63,4,10698.862465067179,Moda,2025-01-06,2025-01,12731.646333429942,Marta,29.0,Mendoza,3,1800,600.0,26-35,0.43902439024390244
64,10,15689.006795292848,Moda,2025-01-24,2025-01,18669.918086398488,Valentina,30.0,Bahía Blanca,6,2950,491.6666666666667,26-35,0.7195121951219512
65,5,8741.341136507308,Deportes,2025-02-03,2025-02,10402.195952443695,Jorge,31.0,La Plata,8,3200,400.0,26-35,0.7804878048780488
66,4,11278.820429603535,Deportes,2025-02-07,2025-02,13421.796311228205,Marta,29.0,Mendoza,3,1800,600.0,26-35,0.43902439024390244
67,10,8691.296258102824,Hogar,2025-04-30,2025-04,10342.64254714236,Valentina,30.0,Bahía Blanca,6,2950,491.6666666666667,26-35,0.7195121951219512
68,4,10763.580261505202,Electrónica,2025-04-04,2025-04,12808.660511191189,Marta,29.0,Mendoza,3,1800,600.0,26-35,0.43902439024390244
69,1,16263.733041576308,Moda,2025-02-08,2025-02,19353.842319475807,Ana,25.0,Buenos Aires,5,2500,500.0,<=25,0.6097560975609756
70,5,6621.140697426277,Deportes,2025-04-27,2025-04,7879.15742993727,Jorge,31.0,La Plata,8,3200,400.0,26-35,0.7804878048780488
71,8,14109.919903235346,Deportes,2025-03-01,2025-03,16790.80468485006,Sofía,33.0,Santa Fe,4,2100,525.0,26-35,0.5121951219512195
72,2,13171.261207376678,Electrónica,2025-03-02,2025-03,15673.800836778246,Luis,34.0,Córdoba,2,1200,600.0,26-35,0.2926829268292683
73,5,9844.149600298619,Electrónica,2025-02-22,2025-02,11714.538024355355,Jorge,31.0,La Plata,8,3200,400.0,26-35,0.7804878048780488
74,2,7306.099629699787,Electrónica,2025-01-18,2025-01,8694.258559342747,Luis,34.0,Córdoba,2,1200,600.0,26-35,0.2926829268292683
75,7,12429.530604694184,Electrónica,2025-04-23,2025-04,14791.141419586078,Pedro,31.0,Tucumán,1,400,400.0,26-35,0.0975609756097561
76,5,10069.462871554288,Moda,2025-01-02,2025-01,11982.660817149601,Jorge,31.0,La Plata,8,3200,400.0,26-35,0.7804878048780488
77,4,13147.95834962228,Moda,2025-01-21,2025-01,15646.070436050513,Marta,29.0,Mendoza,3,1800,600.0,26-35,0.43902439024390244
78,3,12212.720408013405,Hogar,2025-01-28,2025-01,14533.137285535951,Carlos,40.5,Rosario,0,0,0.0,36-50,0.0
79,6,21230.788714650313,Hogar,2025-02-03,2025-02,25264.63857043387,Lucía,28.0,Salta,10,4100,410.0,26-35,1.0
80,7,11145.71751098523,Deportes,2025-01-16,2025-01,13263.403838072423,Pedro,31.0,Tucumán,1,400,400.0,26-35,0.0975609756097561
